TIME,X,Y,Z,ACTION
103,-0.59,0.53,8.29,SITTING
166,-0.56,0.09,8.27,SITTING
179,-0.48,-0.09,8.31,SITTING
192,-0.54,-0.21,8.29,SITTING
208,-0.65,-0.16,8.39,SITTING
221,-0.77,-0.11,8.45,SITTING
234,-0.79,-0.08,8.65,SITTING
247,-0.67,-0.04,8.82,SITTING
260,-0.49,-0.04,8.95,SITTING
273,-0.23,-0.03,8.96,SITTING
286,0.08,-0.03,8.83,SITTING
299,0.21,-0.17,8.58,SITTING
312,0.26,-0.37,8.21,SITTING
325,0.27,-0.51,7.77,SITTING
338,0.30,-0.61,7.37,SITTING
351,0.43,-0.50,6.97,SITTING
364,0.64,-0.25,6.69,SITTING
377,0.98,0.13,6.59,SITTING
390,1.37,0.51,6.71,SITTING
403,1.69,0.77,7.06,SITTING
416,1.95,0.94,7.59,SITTING
429,2.11,0.94,8.25,SITTING
444,2.11,0.80,8.97,SITTING
457,1.97,0.55,9.35,SITTING
470,1.92,0.31,9.52,SITTING
483,1.96,0.20,9.58,SITTING
496,2.06,0.11,9.69,SITTING
509,2.18,-0.09,9.86,SITTING
522,2.22,-0.45,9.98,SITTING
535,2.18,-0.89,10.01,SITTING
548,2.15,-1.16,9.89,SITTING
561,1.94,-1.20,9.70,SITTING
574,1.49,-1.38,9.58,SITTING
587,1.01,-1.50,9.55,SITTING
600,0.65,-1.46,9.62,SITTING
613,0.40,-1.36,9.84,SITTING
626,0.14,-1.30,10.07,SITTING
639,0.02,-1.16,10.23,SITTING
652,0.23,-0.88,10.28,SITTING
667,0.66,-0.61,10.23,SITTING
680,1.06,-0.42,10.08,SITTING
693,1.47,-0.28,9.80,SITTING
706,1.80,-0.19,9.56,SITTING
719,2.28,-0.00,9.47,SITTING
732,2.85,0.23,9.47,SITTING
745,3.41,0.43,9.54,SITTING
758,3.63,0.41,9.53,SITTING
771,3.45,0.10,9.46,SITTING
784,3.14,-0.31,9.42,SITTING
797,2.87,-0.70,9.31,SITTING
810,2.63,-1.04,9.13,SITTING
823,2.42,-1.27,9.00,SITTING
836,2.21,-1.36,9.08,SITTING
849,1.95,-1.40,9.24,SITTING
862,1.76,-1.37,9.55,SITTING
875,1.63,-1.28,9.82,SITTING
888,1.46,-1.23,9.91,SITTING
902,1.25,-1.18,9.87,SITTING
915,1.12,-1.02,9.80,SITTING
928,1.14,-0.72,9.82,SITTING
941,1.25,-0.41,9.93,SITTING
954,1.28,-0.16,9.95,SITTING
967,1.34,0.04,9.91,SITTING
980,1.34,0.22,9.90,SITTING
993,1.27,0.32,9.85,SITTING
1006,1.11,0.56,9.89,SITTING
1019,0.92,0.61,9.94,SITTING
1032,0.80,0.57,10.02,SITTING
1045,0.58,0.54,10.09,SITTING
1058,0.36,0.45,10.23,SITTING
1071,0.11,0.31,10.30,SITTING
1084,-0.15,0.15,10.33,SITTING
1097,-0.28,0.09,10.36,SITTING
